Fecha,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5,Punto 6,Punto 7,Punto 8,Punto 9,Punto 10,Punto 11,Punto 12,Punto 13,Punto 14,Punto 15,Punto 16,Punto 17,Total
2019-06-08,0,0,0,0,0,0,85000,0,0,0,0,0,0,0,0,0,0,85000
2019-06-09,0,0,0,0,0,0,110070,0,0,0,0,0,0,0,0,0,0,110070
2019-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-12,0,0,0,0,0,0,79800,0,0,0,0,0,0,0,0,0,0,79800
2019-06-13,0,0,0,0,0,0,0,0,0,0,0,120776,0,0,0,0,0,120776
2019-06-14,0,0,0,0,0,0,0,0,0,0,0,198382,0,0,0,0,0,198382
2019-06-15,2,0,0,0,0,0,0,0,0,0,0,303316,0,0,0,0,0,303318
2019-06-16,67004,0,0,0,0,0,0,0,0,0,0,284480,0,0,0,0,0,351484
2019-06-17,0,0,0,0,0,0,0,0,0,0,0,289668,56660,0,0,0,0,346328
2019-06-18,0,0,0,0,0,0,0,0,0,0,0,285118,0,0,0,0,0,285118
2019-06-19,0,0,0,0,0,0,0,0,0,0,0,725282,0,0,0,0,0,725282
2019-06-20,0,0,0,0,0,0,0,0,0,0,0,202820,0,0,0,0,0,202820
2019-06-21,0,0,0,0,0,0,0,0,0,0,0,86378,0,0,0,0,0,86378
2019-06-22,0,0,0,0,0,0,0,0,0,0,0,227476,0,0,0,0,0,227476
2019-06-23,0,0,0,0,0,0,0,0,60152,0,0,741936,60000,0,0,0,0,862088
2019-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-25,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,368
2019-06-26,0,0,0,0,0,0,0,0,0,0,0,0,49850,0,0,0,0,49850
2019-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-28,0,0,0,0,0,0,0,0,0,0,0,0,8998,0,0,0,0,8998
2019-06-29,0,0,0,10000,0,0,50000,0,0,0,0,0,29850,0,0,0,0,89850
