Fecha,BCA,BCS,CEN,NES,NOR,NTE,OCC,ORI,PEN
2020-08-09,47.708092,9.1799107,136.81105,154.10677,100.09161,90.158226,161.87694,127.86698,35.705429
2020-08-10,52.912247,9.4943991,153.81963,176.34523,100.06488,102.55218,187.58372,136.6609,37.901466
2020-08-11,57.167679,10.019141,160.43851,185.52066,99.028603,106.56326,198.22244,138.20906,38.342152
2020-08-12,58.732189,10.276597,161.1743,189.21243,101.92226,107.73357,199.36247,139.37294,38.284119
2020-08-13,60.220669,10.387426,159.0025,189.97235,103.3084,108.20808,197.25795,144.35132,38.083771
2020-08-14,61.161514,10.110112,159.9234,187.61752,102.03116,107.23164,196.56644,146.28539,37.365311
2020-08-15,60.374294,9.8890104,150.38316,177.76712,99.95298,102.37339,187.10345,142.16005,36.607723
2020-08-16,56.571251,9.8460932,138.28607,164.45219,98.094788,93.898453,163.44658,133.62839,34.862865
2020-08-17,61.989822,10.149073,155.61771,184.3026,97.154167,102.96916,189.32278,140.754,37.481209
2020-08-18,62.799717,9.8408546,158.53954,186.2113,94.489059,104.31794,196.68074,140.31537,38.198013
2020-08-19,62.653763,8.1760483,161.13969,185.9335,94.817596,104.05659,196.43933,141.26659,37.620461
2020-08-20,61.707447,5.8468337,161.21646,188.33118,95.835587,104.41908,196.73042,141.73059,36.700771
2020-08-21,58.909538,7.8981347,161.41246,190.41293,95.517288,104.97923,198.16089,140.70512,35.972313
2020-08-22,56.84129,8.7136383,153.2462,179.84019,95.910492,101.93171,188.10527,143.48952,34.516006
2020-08-23,54.452732,8.8953333,141.26593,163.72983,97.482376,92.385674,164.92924,132.42931,33.693443
2020-08-24,61.161167,9.4672127,159.26291,179.15099,105.17844,102.767,190.05965,135.90149,36.71925
2020-08-25,61.938431,9.4823246,161.33501,183.49557,104.27612,105.2419,201.99109,135.06004,37.371902
2020-08-26,60.958389,9.4626865,160.84123,187.5995,104.96962,105.78855,202.87158,136.97073,37.968323
